124;ООО «Ермаков Михайлова»;+72943969296;Южный Судан;1961-01-11;клх Ангарск, наб. О.Кошевого, д. 34, 817672
125;ООО «Пестов Шаров»;8 090 389 59 31;Афганистан;1934-04-15;клх Россошь, алл. Крестьянская, д. 2/7 к. 5/6, 350211
126;Беляева Лтд;+7 718 072 33 91;Колумбия;1958-12-26;ст. Егорьевск, пер. Нагорный, д. 3, 974692
127;Группа Ренессанс Страхование;80532052195;Нидерланды;1917-02-04;к. Шадринск, пр. Карла Маркса, д. 5/3 стр. 77, 537231
128;ЗАО «Самойлова Агафонов»;8 062 239 0849;Республика Конго;1991-01-12;к. Красноуфимск, ул. Физкультурная, д. 179 стр. 26, 996358
129;АО «Смирнова, Кошелев и Брагин»;85903162661;Либерия;1910-08-29;ст. Ноябрьск, алл. Пушкинская, д. 6/4 к. 49, 360595
130;ЗАО «Молчанова, Комиссарова и Копылов»;8 (076) 152-34-44;Мальдивы;1924-12-16;г. Морозовск, алл. Березовая, д. 574, 864373
131;Globaltrans;8 (903) 227-49-66;Испания;1933-08-24;клх Алагир, алл. Окружная, д. 5/3 стр. 286, 335916
132;АО «Ковалева Беспалов»;83648011492;Германия;1966-06-10;с. Ростов, бул. Цветочный, д. 900, 860657
133;Тимофеев Групп;+7 (234) 469-6359;Барбадос;1999-09-22;к. Оймякон, алл. Чернышевского, д. 1/7 стр. 685, 873049
134;ОАО «Дементьева, Воробьев и Корнилова»;8 430 628 94 50;Руанда;1972-03-24;г. Ербогачен, алл. Элеваторная, д. 393 стр. 8/9, 632098
135;ООО «Гурьева Мамонтова»;8 (275) 966-4621;Ирландия;1993-11-28;ст. Палана, пр. Поселковый, д. 52 стр. 94, 237620
136;АО «Кабанова»;8 (341) 035-80-47;Мозамбик;1979-02-28;клх Кирово-Чепецк, пр. Московский, д. 1 стр. 94, 052233
137;ЗАО «Лебедев-Авдеев»;8 657 513 7458;Демократическая Республика Конго;1902-12-07;д. Каргасок, ш. Халтурина, д. 3/5, 683421
138;АО «Ларионова-Лапина»;+7 (546) 155-57-67;Нидерланды;1938-10-09;п. Ноглики, ш. Заливное, д. 3/1 к. 83, 208920
139;АО «Кононова»;+7 411 353 8189;Мали;1926-05-06;клх Приморско-Ахтарск, наб. Красногвардейская, д. 74 к. 8, 061365
140;Mail.Ru Group;+7 (518) 453-98-15;Боливия;2012-03-30;с. Сорочинск, бул. Трудовой, д. 124, 461287
141;Субботина Лимитед;+7 700 240 13 22;Гвинея-Бисау;1951-06-04;г. Нальчик, пр. Клары Цеткин, д. 6 стр. 13, 336835
142;ИП «Воронцов, Евсеев и Ефремов»;8 235 135 35 35;Республика Корея;2003-08-09;ст. Шатки, пер. Запорожский, д. 996 к. 8/3, 552647
143;РАО «Федосеев»;87338230890;Бельгия;1943-04-02;с. Терней, ш. Красноармейское, д. 4, 524119
144;РАО «Моисеев, Артемьева и Антонова»;+7 896 161 4146;Того;1936-03-07;клх Юрюзань, пер. Вавилова, д. 8 стр. 5, 390891
145;НПО «Ефимов, Афанасьева и Казаков»;+71654183360;Италия;1926-04-26;д. Кисловодск, ш. Лесхозное, д. 18, 399306
146;ООО «Гордеев-Гордеева»;+7 904 047 14 14;Испания;1914-02-22;д. Троицк (Челяб.), ш. Химиков, д. 4 стр. 9, 324802
147;Лазарева Инк;+7 (458) 186-29-08;Либерия;1976-07-24;клх Мирный, ул. Павлика Морозова, д. 1/1, 882267
148;ОАО «Гуляева Цветков»;+7 (178) 919-5312;Бахрейн;1970-10-09;д. Снежинск, бул. Сенной, д. 86, 687064
149;Евраз;+7 (373) 386-44-55;Украина;1919-06-29;клх Ковров, наб. Гражданская, д. 262, 960706
150;ООО «Брагина-Хохлов»;+7 494 996 8129;Намибия;1962-10-29;к. Кунгур, ш. М.Горького, д. 309, 090394
151;ИП «Алексеев Белоусов»;88921924090;Эквадор;1940-07-13;клх Черкесск, ул. Колхозная, д. 5/5 стр. 2, 697227
152;ЗАО «Голубев»;+7 (190) 834-9780;Мозамбик;1999-05-01;п. Сузун, наб. Ленская, д. 80 к. 61, 049885
153;АО «Орехова»;+7 475 180 0590;Гвинея-Бисау;1978-05-11;клх Талдом, пер. Красноярский, д. 86 к. 904, 674242
154;Тихонова Лтд;+7 877 344 5428;Доминиканская Республика;1914-06-20;д. Териберка, бул. Карла Маркса, д. 304, 789273
155;ИП «Мамонтова, Симонов и Некрасов»;+7 (586) 642-2522;Кирибати;2016-01-26;клх Каневская, наб. ДОС, д. 3/7 к. 17, 268166
156;ОАО «Белякова-Боброва»;8 389 483 5404;Германия;1935-08-17;п. Щельяюр, алл. Жукова, д. 25 к. 56, 982671
157;Сысоева Лимитед;+7 (450) 055-28-57;Малави;1946-12-06;г. Назрань, алл. Просторная, д. 643 к. 37, 241782
158;Евсеева Инк;+7 (955) 817-3240;Сальвадор;1902-02-12;с. Братск, пр. Рабочий, д. 45, 251750
159;ООО «Терентьева-Новиков»;+7 (009) 162-07-68;Саудовская Аравия;1923-01-21;г. Сосновый Бор, пр. Олимпийский, д. 9 стр. 529, 013326
160;АО «Баранова Константинова»;8 (311) 794-5639;Папуа;1995-10-25;ст. Бийск, ул. Красных Партизан, д. 2/4 к. 29, 653109
161;НПО «Ермакова Ершов»;8 (093) 088-64-72;Бразилия;1938-02-14;ст. Пушкинские Горы, наб. Ульянова, д. 276, 727444
162;ООО «Павлов Голубева»;+77069739929;Марокко;1911-03-02;п. Мураши, алл. Ростовская, д. 30 к. 266, 575350
163;РАО «Попов-Бобров»;8 (897) 759-7177;Япония;1918-04-16;г. Листвянка (Иркут.), пер. Северный, д. 9/9 стр. 865, 699107
164;ИП «Лапина, Терентьев и Русаков»;+7 (946) 939-38-54;Либерия;1982-03-23;г. Яшкуль, бул. Никитина, д. 804 стр. 8/2, 951327
165;РАО «Субботин»;+7 156 252 4175;Мозамбик;1911-10-07;с. Городовиковск, ш. Производственное, д. 4/4 к. 5, 842778
166;ООО «Харитонов, Стрелкова и Капустина»;+7 807 474 34 90;Мозамбик;1914-02-25;п. Северодвинск, ул. Демьяна Бедного, д. 6 стр. 380, 906183
167;ООО «Русакова, Степанов и Меркушев»;+7 216 885 70 87;Самоа;2006-01-30;ст. Шелагонцы, наб. Флотская, д. 971 стр. 747, 589751
168;ОАО «Мясников, Устинов и Лобанов»;+7 099 152 2749;Лесото;1977-01-23;к. Тикси, пер. Шмидта, д. 646 стр. 25, 429327
169;ЗАО «Белова Сафонов»;8 (095) 311-3816;Малайзия;1992-08-22;д. Кандалакша, бул. Космодемьянской, д. 7/1 к. 31, 568831
170;ООО «Миронов»;8 738 863 73 23;ОАЭ;2015-06-02;ст. Хатанга, алл. Энтузиастов, д. 5 к. 5/7, 593252
171;ИП «Новиков Агафонова»;8 865 723 4281;Босния и Герцеговина;2014-02-20;к. Апшеронск, пер. Ясный, д. 3/7 стр. 6/7, 912246
172;Петров Групп;+7 807 718 4603;Малави;1916-09-03;д. Бугульма, ш. Мелиораторов, д. 472 стр. 8, 128843
173;ИП «Марков-Мясников»;+7 (196) 369-0347;Непал;1995-12-27;п. Железногорск(Курск.), пер. Степана Разина, д. 4/5 стр. 70, 687484
174;ОАО «Сазонов-Юдин»;8 (091) 937-1972;Грузия;1933-06-21;с. Обоянь, пер. Заречный, д. 263, 982345
175;Ефремов Инк;+7 (568) 094-8862;Лихтенштейн;1943-02-28;с. Нижний Новгород, наб. Высоковольтная, д. 403 к. 5, 740911
176;Александров Инкорпорэйтед;8 019 672 0087;Финляндия;1934-07-08;г. Калач, ул. Красноярская, д. 585, 289205
177;АО «Харитонов»;+7 (310) 811-79-18;Сьерра-Леоне;1916-08-22;ст. Тутаев, алл. Мелиоративная, д. 70 к. 8/3, 283396
178;АО «Никитина, Нестеров и Макарова»;8 445 910 8468;Япония;1908-02-06;ст. Асбест, бул. Славянский, д. 204, 440141
179;ООО «Орлов Быкова»;8 263 109 48 78;Мадагаскар;1938-01-10;д. Бодайбо, ш. Ленинградское, д. 80, 355824
180;РАО «Дмитриев, Субботина и Одинцов»;+76266555431;Киргизия;1965-08-21;д. Усть-Ишим, ул. Горняцкая, д. 5 к. 8, 728548
181;ГМК Сплав;8 353 513 0222;Либерия;1935-09-04;клх Верхотурье, ул. Панфилова, д. 69 к. 41, 356386
182;РАО «Третьякова, Игнатьева и Рогов»;80945460907;КНДР;2005-09-01;с. Усинск, ул. Автомобилистов, д. 370, 004194
183;РАО «Родионова»;+72079575476;Мозамбик;1902-09-11;клх Шатой, ул. К.Маркса, д. 4/9, 792822
184;Великолукский мясокомбинат;+7 368 450 8878;Алжир;1920-11-19;клх Ачхой Мартан, наб. Кирпичная, д. 78 к. 5, 564597
185;Соллерс;+7 (821) 401-99-30;Азербайджан;2008-05-12;к. Руза, наб. Мостовая, д. 59, 336567
186;Гуляева Групп;+7 (914) 839-9094;Демократическая Республика Конго;2011-04-29;к. Глазов, алл. Гражданская, д. 35 к. 65, 118234
187;Сахалин Энерджи;+7 675 109 38 46;Южный Судан;1905-09-22;г. Приморско-Ахтарск, пр. Тамбовский, д. 47 к. 2, 191210
188;ЗАО «Дроздова Горшков»;+7 (818) 025-2324;ОАЭ;1946-01-23;клх Лотошино, бул. 9 Января, д. 1, 389157
189;АО «Кудряшов Лебедева»;8 174 570 34 18;Гаити;1906-11-05;ст. Тында, алл. Кошевого, д. 14 стр. 9, 972829
190;ОАО «Калинина, Дьячкова и Владимирова»;+76542200142;Гвинея-Бисау;2020-07-17;ст. Чулым, пер. Физкультурный, д. 7, 109759
191;Чернова Инкорпорэйтед;8 843 760 4264;Маршалловы Острова;1950-05-07;к. Сузун, ш. Профсоюзное, д. 61, 299931
192;Дон-Строй Инвест;8 070 409 8002;Армения;1934-10-10;г. Юрьев-Польский, пер. Сиреневый, д. 6/1 к. 1/5, 178011
193;НПО «Миронова Кузнецов»;8 106 702 9628;Кувейт;1933-05-29;г. Кыштым, алл. Космонавтов, д. 3/8 к. 444, 047930
194;ОАО «Самсонов Комарова»;+7 114 900 48 80;Ботсвана;1998-06-09;г. Волоколамск, пер. Жданова, д. 6 к. 326, 015495
195;Металлоинвест;8 282 460 4510;Андорра;1968-12-03;д. Орск, алл. Просвещения, д. 3/3 к. 384, 666216
196;АО «Савина, Носкова и Шубина»;+7 (308) 937-8649;Ангола;1988-11-18;д. Нефтегорск (Самар.), ул. Рылеева, д. 2/3 стр. 68, 323308
197;НПО «Николаев Макаров»;8 (648) 494-3197;Кения;2006-07-13;с. Нефедова, алл. Овражная, д. 334 стр. 35, 981508
198;НПО «Сергеева Куликова»;86729002893;Лаос;2009-09-14;с. Октябрьское (Хант.), ул. Юбилейная, д. 4, 234384
